Feature,Importance
NeighborhoodPrice_x_GrLivArea,0.18245482
OverallQual,0.15601762
NeighborhoodPrice_x_OverallQual,0.10371701
GarageCars,0.04468224
KitchenQual_TA,0.02871875
GarageCond_TA,0.027544903
CentralAir_Y,0.019052155
BsmtQual_Gd,0.018216792
GrLivArea,0.01588677
LotShape_IR2,0.014289313
TotalBsmtSF,0.013172759
LowQualFinSF,0.012764298
BsmtFinSF1,0.012138803
GarageFinish_Unf,0.011820395
ExterQual_TA,0.011621112
1stFlrSF,0.010557168
BsmtExposure_Gd,0.009252921
FullBath,0.008285414
Exterior2nd_CmentBd,0.007907742
SaleType_New,0.0077934563
GarageType_Attchd,0.0074929264
Fireplaces,0.0070429766
2ndFlrSF,0.006754264
PoolArea,0.006249196
GarageType_Detchd,0.006051689
Neighborhood_Crawfor,0.0058507817
SaleCondition_Alloca,0.0057120523
YearRemodAdd,0.0056041596
ExterQual_Gd,0.0055153216
TotRmsAbvGrd,0.005457733
Exterior1st_BrkFace,0.005447603
ScreenPorch,0.0053952425
KitchenAbvGr,0.0053557167
BsmtFullBath,0.00502006
LandContour_Lvl,0.0049957326
GarageQual_TA,0.004824636
KitchenQual_Gd,0.0044247746
SaleCondition_Partial,0.0043463535
AvgPricePerNeighborhood,0.004333528
GarageArea,0.004277638
LotArea,0.0038791697
OverallCond,0.0038787243
BsmtFinType1_GLQ,0.003845959
Condition1_Feedr,0.003825083
PavedDrive_Y,0.0037209443
MasVnrType_Stone,0.0036378796
LandContour_HLS,0.003594899
OpenPorchSF,0.00349859
Near_Feedr,0.0034839057
Exterior2nd_BrkFace,0.0033231464
Exterior1st_Wd Sdng,0.003224208
Neighborhood_NWAmes,0.0030256582
GarageQual_Gd,0.0029621555
HalfBath,0.0029148639
MSSubClass,0.002903402
FireplaceQu_Gd,0.0028298055
LotFrontage,0.0027898
RoofMatl_CompShg,0.0027679906
YearBuilt,0.0027439508
BsmtExposure_No,0.0025689164
BedroomAbvGr,0.0025603562
HouseAge,0.0024997704
SaleType_WD,0.0022604067
MedianPricePerNeighborhood,0.0022293588
GarageYrBlt,0.002079192
MasVnrType_BrkFace,0.0020660062
ExterCond_TA,0.0020344967
LotConfig_CulDSac,0.0020090332
Functional_Typ,0.001966357
HeatingQC_TA,0.0019533846
Neighborhood_NoRidge,0.0019149991
Transportation_Score,0.0018838539
3SsnPorch,0.0018507014
StdPricePerNeighborhood,0.0018274707
Exterior2nd_Wd Shng,0.00182315
BsmtFinType1_Unf,0.0016755038
SaleCondition_Normal,0.0016390601
Foundation_PConc,0.0016350835
Exterior1st_MetalSd,0.001598874
Neighborhood_BrkSide,0.0015397863
FireplaceQu_TA,0.0015394307
Neighborhood_StoneBr,0.0015013672
Condition1_Norm,0.0014900108
Near_Artery,0.0014827109
GarageFinish_RFn,0.0014308224
Neighborhood_IDOTRR,0.0014308041
MoSold,0.0014169856
BsmtFinType1_BLQ,0.0013994568
Neighborhood_Timber,0.0013974981
MasVnrArea,0.0013817489
BsmtCond_TA,0.001327398
Positive_Features_Score,0.0012802999
Exterior1st_VinylSd,0.0012754546
WoodDeckSF,0.0012753764
Neighborhood_NAmes,0.0012577982
AvgLotAreaPerNeighborhood,0.0012406774
HouseStyle_SLvl,0.0012309354
Alley_Pave,0.0012073913
WasRemodeled,0.0011843913
GarageType_CarPort,0.0011531439
HeatingQC_Gd,0.0011496178
RoofStyle_Gable,0.0011177803
LotShape_Reg,0.0010786987
Heating_GasA,0.0010765974
BsmtUnfSF,0.00107634
LotConfig_FR2,0.0010323013
Exterior1st_CemntBd,0.0010237847
KitchenQual_Fa,0.0010207898
PavedDrive_P,0.0009808573
SaleCondition_Family,0.0009300303
Exterior2nd_ImStucc,0.00088964327
LandContour_Low,0.0008741662
MSZoning_RH,0.00078051
Exterior2nd_Plywood,0.0007312709
BsmtFinType2_LwQ,0.00072940317
BsmtFinSF2,0.0007226421
Exterior1st_HdBoard,0.00071084674
HouseStyle_1Story,0.00069449685
MSZoning_FV,0.00069202896
LotConfig_Inside,0.00067542173
Neighborhood_Edwards,0.0006744404
BsmtHalfBath,0.0006742605
Fence_GdWo,0.000674181
Fence_MnPrv,0.0006688992
ExterCond_Gd,0.00066769245
Neighborhood_OldTown,0.00066189136
BsmtQual_TA,0.0006573467
Exterior2nd_Stucco,0.0006573077
EnclosedPorch,0.0006549602
YrSold,0.00054540933
Neighborhood_SWISU,0.0005359019
BsmtFinType2_Rec,0.00052184705
BsmtFinType2_BLQ,0.0005125143
BsmtFinType1_Rec,0.00050924486
GarageType_BuiltIn,0.0005034882
Railroad_Proximity_Score,0.0004969314
Neighborhood_SawyerW,0.0004901722
Foundation_CBlock,0.00048973935
Exterior2nd_VinylSd,0.0004844451
MSZoning_RM,0.0004792964
BldgType_Duplex,0.00047691003
Functional_Mod,0.0004755633
Electrical_SBrkr,0.00047474302
LandSlope_Mod,0.0004702002
Exterior1st_Plywood,0.00046828936
FireplaceQu_Fa,0.00045751536
Exterior2nd_MetalSd,0.00040720505
BsmtQual_Fa,0.00040275438
BsmtFinType1_LwQ,0.00039870085
Foundation_Wood,0.00038976854
GarageType_Basment,0.00038582933
FireplaceQu_Po,0.0003811874
Neighborhood_Somerst,0.0003605171
