LocationCluster,PropertyCluster,FinalCluster,y_train
0,2,2,145000
0,3,3,178000
0,2,2,85000
0,2,2,175000
0,2,2,127000
0,1,1,149900
0,3,3,174000
0,2,2,125500
0,0,0,175500
0,0,0,225000
0,2,2,129000
0,1,1,159950
0,0,0,157000
0,3,3,205000
0,1,1,140000
0,3,3,200000
0,0,0,217000
0,1,1,125000
0,1,1,159500
1,0,4,184000
0,2,2,96500
0,0,0,200000
0,2,2,149000
0,3,3,178900
0,3,3,184900
0,3,3,164700
0,0,0,335000
0,1,1,87500
1,0,4,233170
0,2,2,149350
0,2,2,133000
0,2,2,98000
0,0,0,207500
0,3,3,150000
0,1,1,134900
0,3,3,187750
0,1,1,149500
0,2,2,116050
0,1,1,153337
0,2,2,165000
0,2,2,130500
0,0,0,206300
0,3,3,146000
0,1,1,126500
0,1,1,139000
0,2,2,113000
0,2,2,79000
0,0,0,182000
0,3,3,188000
0,1,1,129000
0,2,2,160000
0,1,1,174000
0,3,3,219210
0,0,0,310000
1,1,5,374000
0,1,1,100000
0,0,0,250000
0,2,2,145000
0,0,0,325000
1,1,5,380000
0,0,0,275000
0,3,3,180000
0,0,0,245350
0,2,2,151500
0,2,2,134500
0,2,2,94000
0,3,3,216000
1,1,5,350000
0,3,3,195000
0,2,2,120000
0,0,0,228500
1,0,4,248000
0,2,2,124000
0,0,0,191000
0,1,1,181000
0,2,2,105000
0,2,2,139900
0,2,2,157900
0,2,2,130500
0,3,3,172400
0,1,1,130000
0,3,3,178000
0,3,3,161500
0,1,1,119900
0,3,3,239000
0,0,0,190000
0,2,2,85400
0,0,0,205000
0,1,1,134000
0,0,0,168000
0,3,3,185000
0,1,1,180500
0,2,2,152000
0,3,3,215000
0,1,1,153000
0,1,1,106000
0,0,0,340000
0,1,1,159000
0,2,2,120000
0,1,1,115000
0,3,3,128000
1,1,5,314813
0,2,2,131000
1,2,6,446261
0,1,1,127500
0,2,2,155000
0,3,3,177500
0,1,1,128500
0,3,3,176000
1,2,6,402000
0,2,2,130000
0,1,1,145000
0,2,2,147000
0,2,2,115000
0,3,3,189000
0,0,0,143000
0,0,0,240000
1,0,4,230000
1,0,4,190000
0,0,0,213000
0,2,2,82500
1,1,5,274900
0,2,2,155000
0,0,0,423000
0,2,2,128500
1,2,6,335000
1,1,5,262000
0,2,2,129500
0,3,3,222500
1,0,4,270000
1,0,4,207500
0,1,1,175000
0,3,3,238000
0,2,2,135900
1,0,4,224000
0,3,3,170000
0,3,3,185000
0,3,3,263000
0,2,2,62383
0,1,1,150000
0,0,0,171000
0,2,2,139000
0,2,2,126175
0,3,3,205950
0,1,1,110000
1,2,6,485000
0,0,0,174000
0,1,1,145000
0,3,3,215200
0,0,0,320000
0,3,3,212000
0,1,1,168500
0,3,3,189000
0,2,2,140000
0,3,3,187500
0,3,3,254900
0,2,2,135000
0,1,1,151000
0,2,2,112500
0,3,3,184000
0,0,0,197000
1,3,7,161500
0,2,2,85000
0,3,3,203000
1,2,6,325000
0,0,0,313000
0,3,3,237000
0,1,1,180500
0,2,2,137000
0,2,2,90350
0,0,0,150900
0,0,0,214000
0,1,1,121500
1,2,6,745000
0,3,3,190000
0,0,0,181000
0,2,2,60000
0,0,0,239000
0,2,2,118500
0,1,1,109500
0,2,2,110000
0,1,1,105500
0,3,3,199900
0,0,0,271900
0,1,1,131500
0,2,2,135000
0,2,2,119000
0,3,3,215000
0,2,2,133500
0,3,3,169000
0,1,1,137500
0,2,2,147000
0,0,0,232000
0,1,1,156000
0,1,1,170000
0,1,1,82500
0,1,1,155000
0,0,0,424870
1,0,4,236500
1,3,7,218000
0,0,0,213000
1,1,5,312500
1,3,7,187000
0,3,3,181000
0,3,3,233000
0,2,2,95000
0,2,2,52000
0,0,0,181000
1,1,5,501837
0,2,2,88000
0,2,2,112000
0,1,1,140000
0,1,1,167000
0,2,2,145250
0,0,0,210000
0,1,1,157500
0,0,0,212900
0,2,2,117500
0,0,0,185500
0,2,2,85000
0,0,0,145000
1,1,5,255500
0,2,2,124000
