Cluster,Model,Train_Samples,Test_Samples,Train_R2,Test_R2,Test_MSE,Test_MAE
0,Lasso,193,29,0.916669222151181,0.5037649755613439,819842972.7589254,23631.992648311345
0,EBM,193,29,0.95975392149132,0.511874041514591,806445771.0097569,21284.90898716728
1,Lasso,236,47,0.8974144096860742,0.7638133317412368,368193779.64102584,12920.43023224799
1,EBM,236,47,0.9919387841070124,0.7215568845913096,434067781.3576983,12421.951692707287
2,Lasso,310,101,0.8802586993456634,0.7792150563146649,199094144.6064029,10102.982301115771
2,EBM,310,101,0.9891049460526617,0.7173060558801864,254920956.34093255,10793.97446574129
3,Lasso,259,65,0.9063243802257899,0.7562149425663024,309918109.1231392,12322.168780395561
3,EBM,259,65,0.9794851064925456,0.6636293590956528,427619945.58245623,13877.691944047434
4,Lasso,64,13,0.9781047895034962,0.4514103145638716,814517723.9280884,21761.11170422988
4,EBM,64,13,0.9443796417942161,-0.469245002095801,2181459343.4223886,28854.27845080367
5,Lasso,43,16,0.9981706223535384,-6.3162090598050975,66217654650.8351,143457.764030786
5,EBM,43,16,0.9718785092088149,0.614320655315373,3490712395.384635,43646.22394347716
6,Lasso,41,13,0.9994154709964593,0.6264644644203814,6268940838.654304,59184.67852234568
6,EBM,41,13,0.9810018605973015,0.5731694354880913,7163376177.590571,62071.95225578002
7,Lasso,22,8,0.9999226480962468,-62.624168395636815,116875371260.381,201714.30408040626
7,EBM,22,8,0.9412824197729259,-0.09788123680752658,2016769419.3467128,39801.38827236855
